name,time,level description,location,water_level
h2o_feet,1566000000000000000,below 3 feet,santa_monica,2.064
h2o_feet,1566000000000000000,between 6 and 9 feet,coyote_creek,8.12
h2o_feet,1566000360000000000,below 3 feet,santa_monica,2.116
h2o_feet,1566000360000000000,between 6 and 9 feet,coyote_creek,8.005
h2o_feet,1566000720000000000,below 3 feet,santa_monica,2.028
h2o_feet,1566000720000000000,between 6 and 9 feet,coyote_creek,7.887
h2o_feet,1566001080000000000,below 3 feet,santa_monica,2.126
h2o_feet,1566001080000000000,between 6 and 9 feet,coyote_creek,7.762
h2o_feet,1566001440000000000,below 3 feet,santa_monica,2.041
h2o_feet,1566001440000000000,between 6 and 9 feet,coyote_creek,7.635
h2o_feet,1566001800000000000,below 3 feet,santa_monica,2.051
h2o_feet,1566001800000000000,between 6 and 9 feet,coyote_creek,7.5
h2o_feet,1566002160000000000,below 3 feet,santa_monica,2.067
h2o_feet,1566002160000000000,between 6 and 9 feet,coyote_creek,7.372
h2o_feet,1566002520000000000,below 3 feet,santa_monica,2.057
h2o_feet,1566002520000000000,between 6 and 9 feet,coyote_creek,7.234
h2o_feet,1566002880000000000,below 3 feet,santa_monica,1.991
h2o_feet,1566002880000000000,between 6 and 9 feet,coyote_creek,7.11
h2o_feet,1566003240000000000,below 3 feet,santa_monica,2.054
h2o_feet,1566003240000000000,between 6 and 9 feet,coyote_creek,6.982
h2o_feet,1566003600000000000,below 3 feet,santa_monica,2.018
h2o_feet,1566003600000000000,between 6 and 9 feet,coyote_creek,6.837
h2o_feet,1566003960000000000,below 3 feet,santa_monica,2.096
h2o_feet,1566003960000000000,between 6 and 9 feet,coyote_creek,6.713
h2o_feet,1566004320000000000,below 3 feet,santa_monica,2.1
h2o_feet,1566004320000000000,between 6 and 9 feet,coyote_creek,6.578
h2o_feet,1566004680000000000,below 3 feet,santa_monica,2.106
h2o_feet,1566004680000000000,between 6 and 9 feet,coyote_creek,6.44
h2o_feet,1566005040000000000,below 3 feet,santa_monica,2.126144146
h2o_feet,1566005040000000000,between 6 and 9 feet,coyote_creek,6.299
h2o_feet,1566005400000000000,below 3 feet,santa_monica,2.1
h2o_feet,1566005400000000000,between 6 and 9 feet,coyote_creek,6.168
h2o_feet,1566005760000000000,below 3 feet,santa_monica,2.136
h2o_feet,1566005760000000000,between 6 and 9 feet,coyote_creek,6.024
h2o_feet,1566006120000000000,below 3 feet,santa_monica,2.182
h2o_feet,1566006120000000000,between 3 and 6 feet,coyote_creek,5.879
h2o_feet,1566006480000000000,below 3 feet,santa_monica,2.306
h2o_feet,1566006480000000000,between 3 and 6 feet,coyote_creek,5.745
h2o_feet,1566006840000000000,below 3 feet,santa_monica,2.448
h2o_feet,1566006840000000000,between 3 and 6 feet,coyote_creek,5.617
h2o_feet,1566007200000000000,below 3 feet,santa_monica,2.464
h2o_feet,1566007200000000000,between 3 and 6 feet,coyote_creek,5.472
h2o_feet,1566007560000000000,below 3 feet,santa_monica,2.467
h2o_feet,1566007560000000000,between 3 and 6 feet,coyote_creek,5.348
h2o_feet,1566007920000000000,below 3 feet,santa_monica,2.516
h2o_feet,1566007920000000000,between 3 and 6 feet,coyote_creek,5.2
h2o_feet,1566008280000000000,below 3 feet,santa_monica,2.674
h2o_feet,1566008280000000000,between 3 and 6 feet,coyote_creek,5.072
h2o_feet,1566008640000000000,below 3 feet,santa_monica,2.684
h2o_feet,1566008640000000000,between 3 and 6 feet,coyote_creek,4.934
h2o_feet,1566009000000000000,below 3 feet,santa_monica,2.799
h2o_feet,1566009000000000000,between 3 and 6 feet,coyote_creek,4.793
h2o_feet,1566009360000000000,below 3 feet,santa_monica,2.927
h2o_feet,1566009360000000000,between 3 and 6 feet,coyote_creek,4.662
h2o_feet,1566009720000000000,below 3 feet,santa_monica,2.956
h2o_feet,1566009720000000000,between 3 and 6 feet,coyote_creek,4.534
h2o_feet,1566010080000000000,below 3 feet,santa_monica,2.927
h2o_feet,1566010080000000000,between 3 and 6 feet,coyote_creek,4.403
h2o_feet,1566010440000000000,between 3 and 6 feet,coyote_creek,4.281
h2o_feet,1566010440000000000,between 3 and 6 feet,santa_monica,3.022
h2o_feet,1566010800000000000,between 3 and 6 feet,coyote_creek,4.154
h2o_feet,1566010800000000000,between 3 and 6 feet,santa_monica,3.087
h2o_feet,1566011160000000000,between 3 and 6 feet,coyote_creek,4.029
h2o_feet,1566011160000000000,between 3 and 6 feet,santa_monica,3.215
h2o_feet,1566011520000000000,between 3 and 6 feet,coyote_creek,3.911
h2o_feet,1566011520000000000,between 3 and 6 feet,santa_monica,3.33
h2o_feet,1566011880000000000,between 3 and 6 feet,coyote_creek,3.786
h2o_feet,1566011880000000000,between 3 and 6 feet,santa_monica,3.32
h2o_feet,1566012240000000000,between 3 and 6 feet,coyote_creek,3.645
h2o_feet,1566012240000000000,between 3 and 6 feet,santa_monica,3.419
h2o_feet,1566012600000000000,between 3 and 6 feet,coyote_creek,3.524
h2o_feet,1566012600000000000,between 3 and 6 feet,santa_monica,3.547
h2o_feet,1566012960000000000,between 3 and 6 feet,coyote_creek,3.399
h2o_feet,1566012960000000000,between 3 and 6 feet,santa_monica,3.655
h2o_feet,1566013320000000000,between 3 and 6 feet,coyote_creek,3.278
h2o_feet,1566013320000000000,between 3 and 6 feet,santa_monica,3.658
h2o_feet,1566013680000000000,between 3 and 6 feet,coyote_creek,3.159
h2o_feet,1566013680000000000,between 3 and 6 feet,santa_monica,3.76
h2o_feet,1566014040000000000,between 3 and 6 feet,coyote_creek,3.048
h2o_feet,1566014040000000000,between 3 and 6 feet,santa_monica,3.819
h2o_feet,1566014400000000000,below 3 feet,coyote_creek,2.943
h2o_feet,1566014400000000000,between 3 and 6 feet,santa_monica,3.911
h2o_feet,1566014760000000000,below 3 feet,coyote_creek,2.831
h2o_feet,1566014760000000000,between 3 and 6 feet,santa_monica,4.055
h2o_feet,1566015120000000000,below 3 feet,coyote_creek,2.717
h2o_feet,1566015120000000000,between 3 and 6 feet,santa_monica,4.055
h2o_feet,1566015480000000000,below 3 feet,coyote_creek,2.625
h2o_feet,1566015480000000000,between 3 and 6 feet,santa_monica,4.124
